distancia,radio
32,0
32,0
288,0
304,0
576,0
704,0
704,0
704,0
704,0
768,0
832,0
832,0
832,0
928,0
928,0
928,0
1792,0
1792,0
1792,0
1792,0
1920,0
1920,0
1152.5,0
1152.5,0
1792.5,0
1792.5,0
1792.5,0
576.5,0
672.5,0
704.5,0
704.5,0
704.5,0
704.5,0
864.5,0
864.5,0
928.5,0
928.5,0
1793,0
1793,0
1793,0
1921,0
1665.5,0
1665.5,0
1793.5,0
1793.5,0
288.5,0
577,0
705,0
705,0
705,0
705,0
705,0
705,0
801,0
865,0
929,0
1154,0
1794,0
1794,0
1794,0
1794.5,0
1794.5,0
1794.5,0
1794.5,0
577.5,0
577.5,0
577.5,0
577.5,0
865.5,0
865.5,0
865.5,0
865.5,0
1795,0
1795,0
1795,0
1795,0
1923,0
1923,0
1795.5,0
1795.5,0
289,0
305,0
578,0
706,0
866,0
866,0
1668.5,0
1796.5,0
1796.5,0
578.5,0
578.5,0
706.5,0
706.5,0
706.5,0
706.5,0
802.5,0
834.5,0
1797,0
305.5,0
579,0
707,0
707,0
707,0
707,0
707,0
707,0
867,0
1926,0
1926,0
1670.5,0
1670.5,0
1926.5,0
579.5,0
579.5,0
707.5,0
707.5,0
707.5,0
707.5,0
867.5,0
867.5,0
867.5,0
1479,0
1479,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
1479.5,0
290,0
290,0
580,0
580,0
708,0
708,0
708,0
708,0
708,0
836,0
836,0
1480,0
1480,0
1480,0
1480,0
1480.5,0
1480.5,0
1480.5,0
1800.5,0
580.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
708.5,0
836.5,0
836.5,0
1481,0
1097.5,0
1481.5,0
1481.5,0
290.5,0
306.5,0
306.5,0
581,0
581,0
645,0
709,0
709,0
709,0
709,0
709,0
709,0
709,0
709,0
837,0
837,0
837,0
837,0
837,0
869,0
